frequency,location,lat,lon,mode,alphatag
418.2375,MT GININI,-35.529552,148.772605,10K1F9W,
419.575,BLACK MOUNTAIN,-35.275515,149.097771,10K1F9W,
422.6875,NSW-WIDE,-31.9737,147.7538,10K1F9W,
426.0125,NSW-WIDE,-31.9737,147.7538,10K1F9W,
426.1125,NSW-WIDE,-31.9737,147.7538,10K1F9W,
422.9625,NSW-WIDE,-31.9737,147.7538,10K1F9W,
422.8,NSW-WIDE,-31.9737,147.7538,10K1F9W,
426.05,NSW-WIDE,-31.9737,147.7538,10K1F9W,
422.8625,NSW-WIDE,-31.9737,147.7538,10K1F9W,
415.3875,BLACK MOUNTAIN,-35.275515,149.097771,10K1F9W,
417.2,BLACK MOUNTAIN,-35.275515,149.097771,10K1F9W,
416.3375,ONE TREE HILL,-35.142214,149.091272,10K1F9W,
416.5875,ONE TREE HILL,-35.142214,149.091272,10K1F9W,
416.8375,ONE TREE HILL,-35.142214,149.091272,10K1F9W,
416.7125,MT AINSLIE,-35.270042,149.158275,10K1F9W,
417.1125,MOUNT STROMLO,-35.316211,149.010568,10K1F9W,
418.0625,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
415.8,MT TENNENT,-35.549546,149.044253,10K1F9W,
417.5875,ONE TREE HILL,-35.142214,149.091272,10K1F9W,
414.55,NSW-WIDE,-31.9737,147.7538,10K1F9W,
419.1,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
417.9375,BULLS HEAD,-35.385788,148.813048,10K1F9W,
416.2375,MT GININI,-35.529552,148.772605,10K1F9W,
417.2375,MT GININI,-35.529552,148.772605,10K1F9W,
426.0875,NSW-WIDE,-31.9737,147.7538,10K1F9W,
415.5,NSW-WIDE,-31.9737,147.7538,10K1F9W,
422.7125,NSW-WIDE,-31.9737,147.7538,10K1F9W,
422.8375,NSW-WIDE,-31.9737,147.7538,10K1F9W,
426.2,NSW-WIDE,-31.9737,147.7538,10K1F9W,
415.2125,MT GININI,-35.529552,148.772605,10K1F9W,
415.3,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
417.3375,ONE TREE HILL,-35.142214,149.091272,10K1F9W,
417.1625,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
417.7125,MT AINSLIE,-35.270042,149.158275,10K1F9W,
412.6625,NSW-WIDE,-31.9737,147.7538,10K1F9W,
418.0625,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
419.6,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
419.975,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
416.7375,MT GININI,-35.529552,148.772605,10K1F9W,
426.0375,NSW-WIDE,-31.9737,147.7538,10K1F9W,
426.2875,NSW-WIDE,-31.9737,147.7538,10K1F9W,
415.35,THARWA,-35.549991,149.044639,10K1F9W,
416.7,BLACK MOUNTAIN,-35.275515,149.097771,10K1F9W,
418.825,BLACK MOUNTAIN,-35.275515,149.097771,10K1F9W,
417.475,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
415.9625,MT AINSLIE,-35.270042,149.158275,10K1F9W,
417.6125,MOUNT STROMLO,-35.316211,149.010568,10K1F9W,
412.5,NSW-WIDE,-31.9737,147.7538,10K1F9W,
419.1125,MOUNT STROMLO,-35.316211,149.010568,10K1F9W,
418.55,MT TENNENT,-35.549546,149.044253,10K1F9W,
417.3625,MOUNT STROMLO,-35.316211,149.010568,10K1F9W,
418.1875,BULLS HEAD,-35.385788,148.813048,10K1F9W,
418.4375,BULLS HEAD,-35.385788,148.813048,10K1F9W,
416.4875,MT GININI,-35.529552,148.772605,10K1F9W,
419.1875,BULLS HEAD,-35.385788,148.813048,10K1F9W,
422.6375,NSW-WIDE,-31.9737,147.7538,10K1F9W,
426.275,NSW-WIDE,-31.9737,147.7538,10K1F9W,
418.075,BLACK MOUNTAIN,-35.275515,149.097771,10K1F9W,
416.6125,MOUNT STROMLO,-35.316211,149.010568,10K1F9W,
416.8625,MOUNT STROMLO,-35.316211,149.010568,10K1F9W,
417.475,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
417.9625,MT AINSLIE,-35.270042,149.158275,10K1F9W,
417.8625,MOUNT STROMLO,-35.316211,149.010568,10K1F9W,
413.1875,BULLS HEAD,-35.385788,148.813048,10K1F9W,
419.4375,BULLS HEAD,-35.385788,148.813048,10K1F9W,
415.55,NSW-WIDE,-31.9737,147.7538,10K1F9W,
426.3375,NSW-WIDE,-31.9737,147.7538,10K1F9W,
414.5,NSW-WIDE,-31.9737,147.7538,10K1F3E,
419.325,BLACK MOUNTAIN,-35.275515,149.097771,10K1F9W,
416.4625,MT AINSLIE,-35.270042,149.158275,10K1F9W,
416.3625,MOUNT STROMLO,-35.316211,149.010568,10K1F9W,
417.05,MT TENNENT,-35.549546,149.044253,10K1F9W,
417.75,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
415.8625,MOUNT STROMLO,-35.316211,149.010568,10K1F9W,
417.7375,MT GININI,-35.529552,148.772605,10K1F9W,
412.5625,NSW-WIDE,-31.9737,147.7538,10K1F9W,
414.4875,NSW-WIDE,-31.9737,147.7538,10K1F9W,
419.475,ISAACS RIDGE,-35.378058,149.124133,10K1F9W,
417.4875,MT GININI,-35.529552,148.772605,10K1F9W,
422.8875,NSW-WIDE,-31.9737,147.7538,10K1F9W,
415.525,NSW-WIDE,-31.9737,147.7538,10K1F9W,
415.325,ONE TREE HILL,-35.142214,149.091272,10K1F9W,
414.7875,BLACK MOUNTAIN,-35.275515,149.097771,10K1F9W,
419.075,BLACK MOUNTAIN,-35.275515,149.097771,10K1F9W,
416.0875,ONE TREE HILL,-35.142214,149.091272,10K1F9W,
417.2125,MT AINSLIE,-35.270042,149.158275,10K1F9W,
